Syntax version=4
Sun Nov 24 22:27:38 2019
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		akcelerometer[0]	akcelerometer[1]	akcelerometer[2]	gyroskope[0]	gyroskope[1]	gyroskope[2]
D:	time(ms)	(0x20000780,7)	(0x20000788,7)	(0x20000790,7)	(0x20000798,7)	(0x200007a0,7)	(0x200007a8,7)
D:	1016.63	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1017.43	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1018.22	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1019.08	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1019.90	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1020.79	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1021.63	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1022.49	1.144819	0.993933	-9.843530	0.023436	0.079895	-0.022371
D:	1023.33	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1024.29	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1025.17	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1026.01	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1026.86	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1027.78	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1028.66	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1029.52	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1030.31	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1031.08	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1032.03	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1032.86	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1033.73	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1034.61	1.173560	0.835862	-9.956096	-0.002131	0.080960	-0.023436
D:	1035.47	1.254990	0.845442	-10.049502	-0.014914	0.060720	-0.019175
D:	1036.44	1.254990	0.845442	-10.049502	-0.014914	0.060720	-0.019175
D:	1037.25	1.254990	0.845442	-10.049502	-0.014914	0.060720	-0.019175
D:	1038.21	1.254990	0.845442	-10.049502	-0.014914	0.060720	-0.019175
D:	1039.29	1.254990	0.845442	-10.049502	-0.014914	0.060720	-0.019175
